EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,FireReason
3437,Myriam,Givens,4-Aug-23,,Area Sales Manager,Susan Garcia,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,1/26/1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,
3438,Dheepa,Nguyen,10-Aug-18,4-Nov-19,Area Sales Manager,Daniel Harris,dheepa.nguyen@bilearner.com,MSC,Exited,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,4/6/1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,Attendance issues
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Betty Martin,bartholemew.khemmich@bilearner.com,EW,Exited,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,11/24/1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,Work-life balance
3440,Xana,Potts,5-Dec-19,17-Feb-23,Area Sales Manager,John Thompson,xana.potts@bilearner.com,CCDR,Exited,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,11/6/1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,Position eliminated
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,Paul King,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,11/21/1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,
3442,Kaylah,Moon,9-Jul-19,16-Jun-22,Area Sales Manager,John Thompson,kaylah.moon@bilearner.com,PYZ,Exited,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,11/24/1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2,Conflict with manager
3443,Kristen,Tate,5-Apr-21,12-May-23,Area Sales Manager,Sarah Robinson,kristen.tate@bilearner.com,WBL,Exited,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,4/8/1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,Seeking higher pay
3444,Bobby,Rodgers,28-Nov-21,4-Feb-22,Area Sales Manager,Paul Young,bobby.rodgers@bilearner.com,NEL,Exited,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,11/15/1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,Better opportunity
3445,Reid,Park,16-Jan-21,,Area Sales Manager,Betty Martin,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12/7/1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,William Clark,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,5/1/1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2,
3447,Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,Laura Miller,mariela.schultz@bilearner.com,CCDR,Exited,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,2/17/1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,Seeking new challenges
3448,Angela,Molina,1-Oct-19,6-Nov-20,Area Sales Manager,Karen Robinson,angela.molina@bilearner.com,SVG,Exited,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,5/12/1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,Company downsizing
3449,Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,Paul Davis,gerald.preston@bilearner.com,EW,Exited,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,9/18/1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5,Career change
3450,Reilly,Moyer,1-Sep-20,4-Dec-22,Area Sales Manager,David Harris,reilly.moyer@bilearner.com,MSC,Exited,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,8/11/1994,CO,Operator,Male,11765,Other,Single,Exceeds,2,End of contract term
3451,Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,John Thompson,carlee.french@bilearner.com,TNS,Exited,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,1/15/1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,Poor performance
3452,Jaydon,Blackburn,8-Nov-22,,Area Sales Manager,Karen Miller,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,1/7/1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,
3453,Bridger,Carter,13-Oct-22,,Area Sales Manager,Susan Allen,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,4/7/1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,
3454,Leon,Beard,11-Sep-22,,Area Sales Manager,Karen Clark,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,1/29/1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,
3455,Charity,Miranda,29-Jun-21,5-Jul-22,Area Sales Manager,David Garcia,charity.miranda@bilearner.com,WBL,Exited,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,1/18/1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,Found a better role
3456,Axel,Howe,6-Mar-23,,Area Sales Manager,William Clark,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,9/25/1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,
3457,Milton,Wall,25-Sep-20,,Area Sales Manager,Susan Martinez,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,8/23/1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,James Martinez,cory.robinson@bilearner.com,BPC,Exited,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,8/12/1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,Not a good culture fit
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Jennifer Taylor,saniya.yu@bilearner.com,CCDR,Exited,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,2/9/1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,Relocation
3460,Alisa,James,19-Feb-20,,Area Sales Manager,Joseph Miller,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,2/10/1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,
3461,Lincoln,Compton,18-Jul-19,1-Oct-21,Area Sales Manager,Betty Martin,lincoln.compton@bilearner.com,EW,Exited,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,12/29/1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,Poor performance
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Daniel Robinson,aliana.nolan@bilearner.com,MSC,Exited,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,8/9/1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,Going back to school
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Robert Martin,kayden.dodson@bilearner.com,TNS,Exited,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,6/21/1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,Attendance issues
3464,James,Duke,3-Dec-18,9-Sep-22,Area Sales Manager,Michael Walker,james.duke@bilearner.com,PYZ,Exited,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),6/17/1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,Position eliminated
3465,Willow,Stuart,8-Nov-21,,Area Sales Manager,James Wright,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1/7/1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,Paul Brown,clayton.walker@bilearner.com,PYZ,Exited,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,1/26/1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,Conflict with manager
3467,Celia,Curtis,6-May-20,,Area Sales Manager,Betty Martin,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,5/14/1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,
3468,Valentin,Reilly,9-Sep-19,,Area Sales Manager,Daniel Robinson,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,4/26/1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,
3469,Ryland,Shepherd,29-Jul-20,5-Jan-23,Area Sales Manager,Jennifer Thompson,ryland.shepherd@bilearner.com,PL,Exited,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,2/21/1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,Personal reasons
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Jennifer Miller,esteban.gilbert@bilearner.com,BPC,Exited,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,5/31/1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,Company downsizing
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,Joseph King,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,1/3/1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,
3472,Nevaeh,Soto,15-Jan-23,,Area Sales Manager,Daniel King,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1/12/1982,TX,Director,Male,74124,Other,Married,Exceeds,4,
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,Karen Miller,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),10/1/1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,
3474,Arely,Patton,9-Mar-20,,Area Sales Manager,William Clark,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,12/16/1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,Michael Martin,vance.trujillo@bilearner.com,TNS,Exited,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,12/25/1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,Seeking new challenges
3476,Charlie,Koch,12-Jun-23,6-Jul-23,Area Sales Manager,David Harris,charlie.koch@bilearner.com,PYZ,Exited,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,6/20/1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,Better opportunity
3477,Sonny,Horne,7-Apr-19,,Area Sales Manager,Laura Miller,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,12/3/1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,
3478,Thomas,Chandler,17-Sep-18,9-Jan-19,Area Sales Manager,Karen Miller,thomas.chandler@bilearner.com,WBL,Exited,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,Health reasons
3479,Sarai,Stone,2-Aug-22,2-Apr-23,Area Sales Manager,Linda King,sarai.stone@bilearner.com,NEL,Exited,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,5/17/1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,Better opportunity
3480,Jerimiah,Harmon,8-Sep-22,16-Oct-22,Area Sales Manager,Laura Miller,jerimiah.harmon@bilearner.com,PL,Exited,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,8/9/1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,Relocation
3481,Leland,Allen,7-Mar-19,31-May-21,Area Sales Manager,John Thompson,leland.allen@bilearner.com,BPC,Exited,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,12/11/1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,Company downsizing
3482,Cristal,Bolton,29-Oct-19,7-Feb-21,Area Sales Manager,Laura Miller,cristal.bolton@bilearner.com,CCDR,Exited,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,2/11/1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,Seeking new challenges
3483,Jaslene,Harding,26-Sep-21,,Area Sales Manager,Paul King,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,6/19/1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,
3484,Albert,Gonzalez,29-Aug-18,,Area Sales Manager,Laura Miller,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,7/18/1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,
3485,Jaiden,Johnson,26-Oct-21,,Area Sales Manager,Joseph Walker,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,8/22/1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,
3486,Brendon,Mcconnell,31-Oct-22,8-Jun-23,Area Sales Manager,Sarah Robinson,brendon.mcconnell@bilearner.com,TNS,Exited,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,11/14/1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,Seeking higher pay
3487,Kimora,Parsons,15-Mar-23,,Area Sales Manager,James Harris,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,2/1/1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,
3488,Willie,Patterson,9-Sep-22,,Area Sales Manager,Laura Miller,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,11/12/1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,
3489,Devyn,Powers,4-Mar-22,,Area Sales Manager,James Harris,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,5/2/1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,David Harris,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,7/10/1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,
3491,Lennon,Buchanan,26-Jan-21,,Area Sales Manager,Michael Thompson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,6/2/1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,
3492,Vicente,Merritt,26-Nov-19,,Area Sales Manager,Michael Walker,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,1/8/1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,
3493,Hugo,Clay,15-Jul-19,,Area Sales Manager,Linda King,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,4/17/1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,
3494,Cohen,Raymond,18-Jun-20,,Area Sales Manager,Daniel Harris,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,2/8/1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4,
3495,Tia,Ellis,22-Jun-23,22-Jul-23,Area Sales Manager,Sarah Young,tia.ellis@bilearner.com,TNS,Exited,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,1/27/1993,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,Position eliminated
3496,Aspen,Bentley,2-Dec-21,,Area Sales Manager,Daniel Robinson,aspen.bentley@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,9/19/1964,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5,
3497,Graham,Rodriguez,8-Dec-21,,Area Sales Manager,Sarah Robinson,graham.rodriguez@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,2/18/1981,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,Laura Miller,joel.mcmillan@bilearner.com,PYZ,Exited,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,10/17/1998,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2,Poor performance
3499,Maci,Frost,25-Sep-18,20-Dec-21,Area Sales Manager,Joseph King,maci.frost@bilearner.com,WBL,Exited,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,1/16/1971,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5,Conflict with manager
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,Jennifer Miller,nevaeh.lucas@bilearner.com,NEL,Exited,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),2/25/2000,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1,Career change
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Area Sales Manager,James Allen,garrett.zimmerman@bilearner.com,PL,Exited,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,4/19/1959,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4,End of contract term
3502,Eugene,Marks,1-Oct-19,,Area Sales Manager,Karen Robinson,eugene.marks@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Splicing,6/29/1976,TX,Electrician,Male,49914,White,Married,Fully Meets,1,
3503,Geovanni,Pugh,20-Jan-22,,Area Sales Manager,James Harris,geovanni.pugh@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management - Con,7/27/1951,CO,Manager,Male,71319,Other,Single,Fully Meets,4,
3504,Javon,Kelley,10-Oct-21,,Area Sales Manager,James Wright,javon.kelley@bilearner.com,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Con,8/23/1980,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2,
3505,Amaya,Hicks,29-Aug-20,,Area Sales Manager,Joseph Miller,amaya.hicks@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,7/24/1943,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1,
3506,Laila,Woodard,27-Aug-19,10-May-23,Area Sales Manager,William Clark,laila.woodard@bilearner.com,MSC,Exited,Full-Time,Zone B,Temporary,Voluntary,Fund nor half early miss follow.,Sales,Field Operations,7/6/1988,IN,Technician,Male,38740,Other,Married,Fully Meets,2,Found a better role
3507,Ivan,Huff,25-Feb-21,7-Apr-23,Area Sales Manager,Jessica King,ivan.huff@bilearner.com,TNS,Exited,Full-Time,Zone A,Full-Time,Retirement,Line later deal stand sometimes too mind.,Sales,Project Management - Con,3/24/1973,CA,Manager,Male,9437,White,Single,Fully Meets,4,Work-life balance
3508,Aidan,Harding,13-Jul-21,,Area Sales Manager,James Harris,aidan.harding@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Aerial,5/26/1942,OR,Laborer,Male,9385,Asian,Single,Fully Meets,5,
3509,Cruz,Boyer,14-Apr-21,,Area Sales Manager,John Thompson,cruz.boyer@bilearner.com,BPC,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,General - Sga,11/4/1977,KY,Project Controls,Female,75993,Black,Married,Fully Meets,2,
3510,Raven,Koch,10-Feb-20,,Area Sales Manager,William Clark,raven.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,General - Con,10/17/1956,KY,Laborer,Female,65329,Hispanic,Married,Fully Meets,2,
3511,Karli,Barker,17-Aug-21,31-Dec-21,Area Sales Manager,Daniel Robinson,karli.barker@bilearner.com,WBL,Exited,Part-Time,Zone B,Full-Time,Resignation,Tell paper every.,Sales,Finance & Accounting,2/18/1997,KY,Director,Female,41111,Asian,Divorced,Fully Meets,4,Personal reasons
3512,Tyrone,Sosa,17-Apr-23,22-Jun-23,Area Sales Manager,Mark Walker,tyrone.sosa@bilearner.com,NEL,Exited,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Yard (Material Handling),10/25/1996,TX,Coordinator,Female,58860,Black,Single,Fully Meets,2,Not a good culture fit
3513,Damaris,Cisneros,2-Sep-22,24-May-23,Area Sales Manager,Betty Walker,damaris.cisneros@bilearner.com,PL,Exited,Contract,Zone C,Temporary,Involuntary,Something sense information final building.,Sales,General - Con,11/13/1959,TX,Laborer,Male,93051,Other,Married,Fully Meets,5,Going back to school
3514,Alexus,Estes,15-Apr-20,,Area Sales Manager,Karen Miller,alexus.estes@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,Wireline Construction,1/3/1958,TX,Manager,Male,17419,Asian,Married,Fully Meets,1,
3515,Kinsley,Flowers,9-Mar-22,10-Dec-22,Area Sales Manager,Karen Clark,kinsley.flowers@bilearner.com,CCDR,Exited,Part-Time,Zone A,Part-Time,Retirement,School see rest firm I.,Sales,Finance & Accounting,4/29/1997,CO,Controller,Male,59593,White,Single,Fully Meets,4,Seeking new challenges
3516,Deborah,Love,7-Apr-22,22-Jan-23,Area Sales Manager,Betty Martin,deborah.love@bilearner.com,SVG,Exited,Contract,Zone B,Part-Time,Retirement,Source doctor rock group this.,Sales,Project Management - Con,6/25/1988,CO,Coordinator,Male,96350,Asian,Divorced,Fully Meets,5,Personal reasons
3517,Milagros,Francis,19-Feb-20,,Area Sales Manager,Karen Clark,milagros.francis@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Splicing,1/4/1942,IN,Splicer,Male,44469,Hispanic,Widowed,Fully Meets,4,
3518,Roberto,Michael,10-Apr-21,4-Jul-22,Area Sales Manager,Laura Miller,roberto.michael@bilearner.com,MSC,Exited,Contract,Zone B,Part-Time,Involuntary,Little imagine career he produce program.,Sales,General - Eng,5/24/1969,CA,Coordinator,Female,13249,Hispanic,Married,Fully Meets,2,Relocation
3519,Elaine,Ewing,19-Dec-21,2-Mar-22,Area Sales Manager,Joseph Miller,elaine.ewing@bilearner.com,TNS,Exited,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Aerial,3/28/1951,CA,Groundman,Male,17123,Hispanic,Widowed,Fully Meets,2,Career change
3520,Caiden,Munoz,13-Dec-20,13-Jan-23,Area Sales Manager,Daniel Harris,caiden.munoz@bilearner.com,TNS,Exited,Full-Time,Zone C,Temporary,Involuntary,Red some option.,Sales,Project Management - Con,3/1/1963,ND,Manager,Female,18983,Black,Divorced,Fully Meets,1,Poor performance
3521,Jocelyn,Bradford,26-Feb-19,,Area Sales Manager,Daniel Robinson,jocelyn.bradford@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,General - Con,4/16/1949,KY,Electrician,Female,51795,Asian,Divorced,Fully Meets,4,
3522,Marques,Armstrong,2-Mar-20,,Area Sales Manager,Susan Allen,marques.armstrong@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Splicing,10/12/1983,KY,Splicer,Female,34369,Other,Single,Fully Meets,1,
